"","booking.status","number.of.adults","number.of.children","number.of.weekend.nights","number.of.week.nights","car.parking.space","lead.time","repeated","P.C","P.not.C","average.price","special.requests","day","month","year","type.of.meal_Meal Plan 2","type.of.meal_Meal Plan 3","type.of.meal_Not Selected","room.type_Room_Type 2","room.type_Room_Type 3","room.type_Room_Type 4","room.type_Room_Type 5","room.type_Room_Type 6","room.type_Room_Type 7","market.segment.type_Complementary","market.segment.type_Corporate","market.segment.type_Offline","market.segment.type_Online"
"1",0,1,1,2,5,0,224,0,0,0,88,0,2,10,2015,0,0,0,0,0,0,0,0,0,0,0,1,0
"2",0,1,0,1,3,0,5,0,0,0,106.68,1,6,11,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"3",1,2,1,1,3,0,1,0,0,0,50,0,28,2,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"4",1,1,0,0,2,0,211,0,0,0,100,1,20,5,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",1,1,0,1,2,0,48,0,0,0,77,0,11,4,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"6",1,1,0,0,2,0,346,0,0,0,100,1,13,9,2016,1,0,0,0,0,0,0,0,0,0,0,1,0
"7",0,1,1,1,4,0,34,0,0,0,107.55,1,15,10,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"8",0,3,0,1,3,0,83,0,0,0,105.61,1,26,12,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"9",0,1,1,0,4,0,121,0,0,0,96.9,1,6,7,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"10",0,2,0,0,5,0,44,0,0,0,133.44,3,18,10,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"11",0,1,0,1,0,0,0,0,0,0,85.03,0,11,9,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"12",0,1,0,2,1,0,35,0,0,0,140.4,1,30,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"13",1,2,0,2,1,0,30,0,0,0,88,0,26,11,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"14",1,1,0,2,0,0,95,0,0,0,90,2,20,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",0,2,0,0,2,0,47,0,0,0,94.5,2,20,10,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"16",1,2,0,0,2,0,256,0,0,0,115,1,15,6,2018,1,0,0,0,0,0,0,0,0,0,0,0,1
"17",0,1,0,1,0,0,0,0,0,0,96,0,5,10,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
"18",0,2,0,1,3,0,1,0,0,0,96,1,10,8,2017,0,0,1,0,0,0,0,0,0,0,0,0,1
"19",1,2,0,2,2,0,99,0,0,0,65,0,30,10,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"20",0,2,0,1,0,0,12,0,0,0,72,0,4,10,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
"21",1,2,0,2,2,0,99,0,0,0,65,0,30,10,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"22",0,1,0,0,1,0,122,0,0,0,67,0,25,11,2018,0,0,0,0,0,0,0,0,0,0,1,0,0
"23",0,2,0,2,4,0,2,0,0,0,85,0,20,3,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"24",0,2,0,0,3,0,37,0,0,0,105,0,13,10,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"25",0,2,0,2,1,0,130,0,0,0,94.5,1,22,5,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"26",0,2,0,0,2,0,99,0,0,0,114.3,1,28,4,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"27",0,2,0,1,1,0,60,0,0,0,65,0,21,9,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
"28",1,1,0,0,2,0,2,0,0,0,110,0,19,5,2018,0,0,0,0,0,1,0,0,0,0,0,0,0
"29",1,1,0,1,2,0,37,0,0,0,37.33,0,6,11,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"30",0,2,0,0,2,0,56,0,0,0,82,0,17,9,2017,1,0,0,0,0,0,0,0,0,0,0,1,0
"31",0,2,0,1,1,0,3,0,0,0,177.5,1,19,9,2017,0,0,0,0,0,1,0,0,0,0,0,0,1
"32",0,2,0,2,2,0,107,0,0,0,87.5,1,13,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"33",0,0,2,0,3,0,56,0,0,0,82.44,1,7,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1
"34",0,2,0,0,1,0,2,0,0,0,69.5,1,9,1,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"35",0,2,0,0,2,0,72,0,0,0,85.5,0,7,10,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"36",0,2,0,0,1,1,23,0,0,0,115,1,27,4,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"37",1,1,0,2,1,0,34,0,0,0,81,0,19,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"38",0,2,0,0,1,0,289,0,0,0,67,0,17,10,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
"39",1,2,0,2,3,0,247,0,0,0,63.75,0,19,11,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"40",1,2,0,2,1,0,186,0,0,0,121.8,1,30,7,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"41",0,2,0,0,4,0,64,0,0,0,93.6,2,1,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"42",0,2,0,0,2,0,35,0,0,0,102,1,21,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"43",0,3,0,2,1,0,96,0,0,0,121.8,1,10,4,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"44",1,2,0,1,1,0,41,0,0,0,98.1,1,27,6,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"45",0,2,0,0,4,0,55,0,0,0,60,1,18,11,2017,0,0,0,0,0,1,0,0,0,0,0,1,0
"46",0,2,0,0,3,0,146,0,0,0,75,0,29,12,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
"47",0,1,0,0,2,0,32,0,0,0,73,0,20,11,2017,0,0,0,0,0,0,0,0,0,0,0,1,0
"48",0,2,0,0,1,0,55,0,0,0,104,0,6,4,2018,1,0,0,0,0,0,0,0,0,0,0,1,0
"49",0,2,0,0,4,0,57,0,0,0,79.2,1,1,11,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"50",0,1,0,1,3,0,7,0,0,0,125.8,2,29,12,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"51",0,1,0,2,5,0,124,0,0,0,87.95,0,30,5,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"52",1,2,0,2,2,0,169,0,0,0,106,0,22,4,2018,1,0,0,0,0,0,0,0,0,0,0,0,1
"53",0,1,0,1,2,0,6,0,0,0,136.67,1,16,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"54",0,2,0,0,4,0,51,0,0,0,60,1,11,11,2017,0,0,0,0,0,1,0,0,0,0,0,1,0
"55",0,2,0,1,0,0,13,0,0,0,89,2,13,6,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"56",0,2,0,1,3,0,100,0,0,0,136,1,19,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"57",0,2,0,0,1,0,139,0,0,0,94.5,1,28,7,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"58",0,2,0,1,2,0,117,0,0,0,93.6,2,26,12,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"59",1,2,0,1,4,0,39,0,0,0,120.6,0,20,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"60",0,2,0,0,3,0,86,0,0,0,99.3,1,6,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"61",0,2,2,0,1,1,2,0,0,0,258,1,2,9,2018,0,0,0,0,0,0,0,1,0,0,0,0,1
"62",0,1,0,0,3,0,19,0,0,0,120.12,2,3,5,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"63",0,1,0,0,2,0,192,0,0,0,95,0,24,6,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"64",0,1,0,0,1,0,2,0,0,0,0,1,10,9,2017,0,0,0,0,0,0,0,0,0,1,0,0,0
"65",0,2,0,2,1,0,86,0,0,0,75,0,18,12,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"66",0,2,0,0,3,0,30,0,0,0,157.5,2,5,10,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"67",0,2,0,0,2,0,179,0,0,0,97.7,1,3,6,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"68",1,2,0,0,2,0,26,0,0,0,142,0,15,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"69",0,2,0,0,1,0,55,0,0,0,80,0,6,4,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"70",0,2,0,1,2,0,74,0,0,0,85.5,1,25,4,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"71",0,2,0,0,3,0,143,0,0,0,100,0,25,8,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"72",0,2,0,1,0,0,34,0,0,0,88,2,14,11,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"73",0,2,0,1,1,1,30,0,0,0,122.85,1,29,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"74",1,2,0,0,2,0,177,0,0,0,100,0,3,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"75",0,2,0,2,3,0,34,0,0,0,75,0,25,10,2017,0,0,0,0,0,1,0,0,0,0,0,1,0
"76",0,2,0,1,4,0,18,0,0,0,116.8,1,9,3,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"77",0,3,0,1,1,0,267,0,0,0,121.5,0,31,12,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"78",0,2,0,1,2,0,64,0,0,0,111.9,1,27,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"79",1,3,0,2,5,0,155,0,0,0,121.55,2,28,6,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"80",0,2,0,0,5,0,46,0,0,0,75,1,29,3,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"81",1,2,2,0,2,0,83,0,0,0,159.3,0,1,4,2018,0,0,0,0,0,0,0,1,0,0,0,0,1
"82",1,2,0,0,5,0,128,0,0,0,132.3,0,11,10,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"83",0,2,0,2,0,0,20,0,0,0,88,2,25,12,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"84",0,2,0,1,4,0,40,0,0,0,98.82,0,14,3,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"85",0,2,0,1,2,1,46,0,0,0,98.3,1,4,3,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"86",0,1,0,1,0,0,1,0,0,0,150,2,17,10,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"87",0,2,0,2,3,0,196,0,0,0,96.05,1,4,9,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"88",1,1,0,0,2,0,188,0,0,0,130,0,15,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"89",0,2,0,0,1,0,17,1,0,5,95,0,10,12,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"90",0,2,0,0,3,0,146,0,0,0,113.56,0,9,8,2018,0,0,0,0,0,0,1,0,0,0,0,1,0
"91",0,2,0,1,3,0,110,0,0,0,101.58,1,5,5,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"92",0,2,0,1,2,1,68,0,0,0,105.3,0,18,3,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"93",0,2,0,2,1,0,73,0,0,0,115.8,1,9,4,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"94",0,2,0,0,1,0,92,0,0,0,149.4,1,19,5,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"95",1,2,0,2,5,0,171,0,0,0,111.59,0,30,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"96",0,2,1,0,2,1,134,0,0,0,130.5,2,4,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"97",1,2,0,0,2,0,320,0,0,0,115,1,18,8,2018,1,0,0,0,0,0,0,0,0,0,0,0,1
"98",0,2,0,0,4,0,118,0,0,0,90.95,1,13,4,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"99",0,2,0,0,3,0,30,0,0,0,76.08,1,17,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"100",0,2,2,1,3,0,30,0,0,0,156.9,0,22,12,2018,0,0,0,0,0,0,0,1,0,0,0,0,1
"101",0,2,0,1,0,0,189,0,0,0,85.5,2,23,10,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"102",0,3,0,1,2,0,55,0,0,0,159.3,2,13,5,2018,0,0,0,0,0,1,0,0,0,0,0,0,1
"103",0,1,0,0,4,0,55,0,0,0,74.8,2,13,12,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"104",0,2,0,0,1,0,16,0,0,0,95,1,31,10,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"105",0,2,0,0,3,0,24,0,0,0,107,1,8,10,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"106",0,2,0,0,3,0,8,0,0,0,64,0,16,2,2018,0,0,0,0,0,0,0,0,0,0,0,1,0
"107",0,2,0,1,4,1,10,0,0,0,82.95,0,2,11,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"108",0,2,0,1,3,0,0,0,0,0,155,1,21,9,2017,0,0,0,0,0,1,0,0,0,0,0,0,1
"109",0,2,0,0,1,0,12,0,0,0,101.68,1,30,6,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
"110",0,2,0,2,1,0,32,0,0,0,94.5,3,5,9,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
"111",1,2,0,0,2,0,182,0,0,0,117.9,2,30,9,2018,0,0,0,0,0,0,0,0,0,0,0,0,1
"112",0,2,0,1,0,0,1,0,0,0,127,1,27,6,2018,0,0,1,0,0,0,0,0,0,0,0,0,1
