"","Default","duration","amount","installment","age","history","purpose","foreign","rent"
"1",0,6,1169,4,67,"terrible","goods/repair","foreign","FALSE"
"2",1,48,5951,2,22,"poor","goods/repair","foreign","FALSE"
"3",0,12,2096,2,49,"terrible","edu","foreign","FALSE"
"4",0,42,7882,2,45,"poor","goods/repair","foreign","FALSE"
"5",1,24,4870,3,53,"poor","newcar","foreign","FALSE"
"6",0,36,9055,2,35,"poor","edu","foreign","FALSE"
"7",0,24,2835,3,53,"poor","goods/repair","foreign","FALSE"
"8",0,36,6948,2,35,"poor","usedcar","foreign","TRUE"
"9",0,12,3059,2,61,"poor","goods/repair","foreign","FALSE"
"10",1,30,5234,4,28,"terrible","newcar","foreign","FALSE"
"11",1,12,1295,3,25,"poor","newcar","foreign","TRUE"
"12",1,48,4308,3,24,"poor","biz","foreign","TRUE"
"13",0,12,1567,1,22,"poor","goods/repair","foreign","FALSE"
"14",1,24,1199,4,60,"terrible","newcar","foreign","FALSE"
"15",0,15,1403,2,28,"poor","newcar","foreign","TRUE"
"16",1,24,1282,4,32,"poor","goods/repair","foreign","FALSE"
"17",0,24,2424,4,53,"terrible","goods/repair","foreign","FALSE"
"18",0,30,8072,2,25,"good","biz","foreign","FALSE"
"19",1,24,12579,4,44,"poor","usedcar","foreign","FALSE"
"20",0,24,3430,3,31,"poor","goods/repair","foreign","FALSE"
"21",0,9,2134,4,48,"terrible","newcar","foreign","FALSE"
"22",0,6,2647,2,44,"poor","goods/repair","foreign","TRUE"
"23",0,10,2241,1,48,"terrible","newcar","german","TRUE"
"24",0,12,1804,3,44,"terrible","usedcar","foreign","FALSE"
"25",0,10,2069,2,26,"terrible","goods/repair","german","FALSE"
"26",0,6,1374,1,36,"poor","goods/repair","foreign","FALSE"
"27",0,6,426,4,39,"good","goods/repair","foreign","FALSE"
"28",0,12,409,3,42,"good","goods/repair","foreign","TRUE"
"29",0,7,2415,3,34,"poor","goods/repair","foreign","FALSE"
"30",1,60,6836,3,63,"poor","biz","foreign","FALSE"
"31",0,18,1913,3,36,"poor","biz","foreign","FALSE"
"32",0,24,4020,2,27,"poor","goods/repair","foreign","FALSE"
"33",0,18,5866,2,30,"poor","newcar","foreign","FALSE"
"34",0,12,1264,4,57,"terrible","biz","foreign","TRUE"
"35",0,12,1474,4,33,"poor","goods/repair","foreign","FALSE"
"36",1,45,4746,4,25,"terrible","goods/repair","foreign","FALSE"
"37",0,48,6110,1,31,"terrible","edu","foreign","FALSE"
"38",1,18,2100,4,37,"poor","goods/repair","foreign","FALSE"
"39",0,10,1225,2,37,"poor","goods/repair","foreign","FALSE"
"40",0,9,458,4,24,"poor","goods/repair","foreign","FALSE"
"41",0,30,2333,4,30,"poor","goods/repair","foreign","FALSE"
"42",0,12,1158,3,26,"poor","goods/repair","foreign","FALSE"
"43",0,18,6204,2,44,"poor","goods/repair","foreign","FALSE"
"44",0,30,6187,1,24,"terrible","usedcar","foreign","TRUE"
"45",1,48,6143,4,58,"terrible","usedcar","foreign","FALSE"
"46",0,11,1393,4,35,"terrible","newcar","foreign","FALSE"
"47",0,36,2299,4,39,"poor","goods/repair","foreign","FALSE"
"48",0,6,1352,1,23,"poor","usedcar","foreign","TRUE"
"49",0,11,7228,1,39,"terrible","newcar","foreign","FALSE"
"50",0,12,2073,4,28,"poor","goods/repair","foreign","FALSE"
"51",0,24,2333,4,29,"poor","goods/repair","foreign","FALSE"
"52",0,27,5965,1,30,"poor","usedcar","foreign","FALSE"
"53",0,12,1262,3,25,"poor","goods/repair","foreign","FALSE"
"54",0,18,3378,2,31,"poor","usedcar","foreign","FALSE"
"55",1,36,2225,4,57,"poor","newcar","foreign","FALSE"
"56",0,6,783,1,26,"good","newcar","foreign","FALSE"
"57",1,12,6468,2,52,"poor","goods/repair","foreign","FALSE"
"58",0,36,9566,2,31,"terrible","goods/repair","foreign","FALSE"
"59",0,18,1961,3,23,"poor","newcar","foreign","FALSE"
"60",1,36,6229,4,23,"terrible","goods/repair","foreign","TRUE"
"61",0,9,1391,2,27,"poor","biz","foreign","FALSE"
